name_method,name_impact,unit
CML 2001,"acidification potential, average European",kg SO2-Eq
CML 2001,"acidification potential, generic",kg SO2-Eq
CML 2001,"climate change, GWP 100a",kg CO2-Eq
CML 2001,"climate change, GWP 20a",kg CO2-Eq
CML 2001,"climate change, GWP 500a",kg CO2-Eq
CML 2001,"climate change, lower limit of net GWP",kg CO2-Eq
CML 2001,"climate change, upper limit of net GWP",kg CO2-Eq
CML 2001,"eutrophication potential, average European",kg NOx-Eq
CML 2001,"eutrophication potential, generic",kg PO4-Eq
CML 2001,"freshwater aquatic ecotoxicity, FAETP 100a","kg 1,4-DCB-Eq"
CML 2001,"freshwater aquatic ecotoxicity, FAETP 20a","kg 1,4-DCB-Eq"
CML 2001,"freshwater aquatic ecotoxicity, FAETP 500a","kg 1,4-DCB-Eq"
CML 2001,"freshwater aquatic ecotoxicity, FAETP infinite","kg 1,4-DCB-Eq"
CML 2001,"freshwater sediment ecotoxicity, FSETP 100a","kg 1,4-DCB-Eq"
CML 2001,"freshwater sediment ecotoxicity, FSETP 20a","kg 1,4-DCB-Eq"
CML 2001," freshwater sediment ecotoxicity, FSETP 500a","kg 1,4-DCB-Eq"
CML 2001," freshwater sediment ecotoxicity, FSETP infinite","kg 1,4-DCB-Eq"
CML 2001," human toxicity, HTP 100a","kg 1,4-DCB-Eq"
CML 2001," human toxicity, HTP 20a","kg 1,4-DCB-Eq"
CML 2001," human toxicity, HTP 500a","kg 1,4-DCB-Eq"
CML 2001," human toxicity, HTP infinite","kg 1,4-DCB-Eq"
CML 2001," ionising radiation, ionising radiation",DALYs
CML 2001," land use, competition",square meter-year
CML 2001," malodours air, malodours air",m3 air
CML 2001," marine aquatic ecotoxicity, MAETP 100a","kg 1,4-DCB-Eq"
CML 2001," marine aquatic ecotoxicity, MAETP 20a","kg 1,4-DCB-Eq"
CML 2001," marine aquatic ecotoxicity, MAETP 500a","kg 1,4-DCB-Eq"
CML 2001," marine aquatic ecotoxicity, MAETP infinite","kg 1,4-DCB-Eq"
CML 2001," marine sediment ecotoxicity, MSETP 100a","kg 1,4-DCB-Eq"
CML 2001," marine sediment ecotoxicity, MSETP 20a","kg 1,4-DCB-Eq"
CML 2001," marine sediment ecotoxicity, MSETP 500a","kg 1,4-DCB-Eq"
CML 2001," marine sediment ecotoxicity, MSETP infinite","kg 1,4-DCB-Eq"
CML 2001," photochemical oxidation summer smog, EBIR",kg formed ozone
CML 2001," photochemical oxidation summer smog, high NOx POCP",kg ethylene-Eq
CML 2001," photochemical oxidation summer smog, low NOx POCP",kg ethylene-Eq
CML 2001," photochemical oxidation summer smog, MIR",kg formed ozone
CML 2001," photochemical oxidation summer smog, MOIR",kg formed ozone
CML 2001," resources, depletion of abiotic resources",kg antimony-Eq
CML 2001," stratospheric ozone depletion, ODP 10a",kg CFC-11-Eq
CML 2001," stratospheric ozone depletion, ODP 15a",kg CFC-11-Eq
CML 2001," stratospheric ozone depletion, ODP 20a",kg CFC-11-Eq
CML 2001," stratospheric ozone depletion, ODP 25a",kg CFC-11-Eq
CML 2001," stratospheric ozone depletion, ODP 30a",kg CFC-11-Eq
CML 2001," stratospheric ozone depletion, ODP 40a",kg CFC-11-Eq
CML 2001," stratospheric ozone depletion, ODP 5a",kg CFC-11-Eq
CML 2001," stratospheric ozone depletion, ODP steady state",kg CFC-11-Eq
CML 2001," terrestrial ecotoxicity, TAETP 100a","kg 1,4-DCB-Eq"
CML 2001," terrestrial ecotoxicity, TAETP 20a","kg 1,4-DCB-Eq"
CML 2001," terrestrial ecotoxicity, TAETP 500a","kg 1,4-DCB-Eq"
CML 2001," terrestrial ecotoxicity, TAETP infinite","kg 1,4-DCB-Eq"
CML 2001 w/o LT," acidification potential w/o LT, average European w/o LT",kg SO2-Eq
CML 2001 w/o LT," acidification potential w/o LT, generic w/o LT",kg SO2-Eq
CML 2001 w/o LT," climate change w/o LT, GWP 100a w/o LT",kg CO2-Eq
CML 2001 w/o LT," climate change w/o LT, GWP 20a w/o LT",kg CO2-Eq
CML 2001 w/o LT," climate change w/o LT, GWP 500a w/o LT",kg CO2-Eq
CML 2001 w/o LT," climate change w/o LT, lower limit of net GWP w/o LT",kg CO2-Eq
CML 2001 w/o LT," climate change w/o LT, upper limit of net GWP w/o LT",kg CO2-Eq
CML 2001 w/o LT," eutrophication potential w/o LT, average European w/o LT",kg NOx-Eq
CML 2001 w/o LT," eutrophication potential w/o LT, generic w/o LT",kg PO4-Eq
CML 2001 w/o LT," freshwater aquatic ecotoxicity w/o LT, FAETP 100a w/o LT","kg 1,4-DCB-Eq"
CML 2001 w/o LT," freshwater aquatic ecotoxicity w/o LT, FAETP 20a w/o LT","kg 1,4-DCB-Eq"
CML 2001 w/o LT," freshwater aquatic ecotoxicity w/o LT, FAETP 500a w/o LT","kg 1,4-DCB-Eq"
CML 2001 w/o LT," freshwater aquatic ecotoxicity w/o LT, FAETP infinite w/o L","kg 1,4-DCB-Eq"
CML 2001 w/o LT," freshwater sediment ecotoxicity w/o LT, FSETP 100a w/o LT","kg 1,4-DCB-Eq"
CML 2001 w/o LT," freshwater sediment ecotoxicity w/o LT, FSETP 20a w/o LT","kg 1,4-DCB-Eq"
CML 2001 w/o LT," freshwater sediment ecotoxicity w/o LT, FSETP 500a w/o LT","kg 1,4-DCB-Eq"
CML 2001 w/o LT," freshwater sediment ecotoxicity w/o LT, FSETP infinite w/o ","kg 1,4-DCB-Eq"
CML 2001 w/o LT," human toxicity w/o LT, HTP 100a w/o LT","kg 1,4-DCB-Eq"
CML 2001 w/o LT," human toxicity w/o LT, HTP 20a w/o LT","kg 1,4-DCB-Eq"
CML 2001 w/o LT," human toxicity w/o LT, HTP 500a w/o LT","kg 1,4-DCB-Eq"
CML 2001 w/o LT," human toxicity w/o LT, HTP infinite w/o LT","kg 1,4-DCB-Eq"
CML 2001 w/o LT," ionising radiation w/o LT, ionising radiation w/o LT",DALYs
CML 2001 w/o LT," land use w/o LT, competition w/o LT",square meter-year
CML 2001 w/o LT," malodours air w/o LT, malodours air w/o LT",m3 air
CML 2001 w/o LT," marine aquatic ecotoxicity w/o LT, MAETP 100a w/o LT","kg 1,4-DCB-Eq"
CML 2001 w/o LT," marine aquatic ecotoxicity w/o LT, MAETP 20a w/o LT","kg 1,4-DCB-Eq"
CML 2001 w/o LT," marine aquatic ecotoxicity w/o LT, MAETP 500a w/o LT","kg 1,4-DCB-Eq"
CML 2001 w/o LT," marine aquatic ecotoxicity w/o LT, MAETP infinite w/o LT","kg 1,4-DCB-Eq"
CML 2001 w/o LT," marine sediment ecotoxicity w/o LT, MSETP 100a w/o LT","kg 1,4-DCB-Eq"
CML 2001 w/o LT," marine sediment ecotoxicity w/o LT, MSETP 20a w/o LT","kg 1,4-DCB-Eq"
CML 2001 w/o LT," marine sediment ecotoxicity w/o LT, MSETP 500a w/o LT","kg 1,4-DCB-Eq"
CML 2001 w/o LT," marine sediment ecotoxicity w/o LT, MSETP infinite w/o LT","kg 1,4-DCB-Eq"
CML 2001 w/o LT," photochemical oxidation w/o LT, EBIR w/o LT",kg formed ozone
CML 2001 w/o LT," photochemical oxidation w/o LT, high NOx POCP w/o LT",kg ethylene-Eq
CML 2001 w/o LT," photochemical oxidation w/o LT, low NOx POCP w/o LT",kg ethylene-Eq
CML 2001 w/o LT," photochemical oxidation w/o LT, MIR w/o LT",kg formed ozone
CML 2001 w/o LT," photochemical oxidation w/o LT, MOIR w/o LT",kg formed ozone
CML 2001 w/o LT," resources w/o LT, depletion of abiotic resources w/o LT",kg antimony-Eq
CML 2001 w/o LT," stratospheric ozone depletion w/o LT, ODP 10a w/o LT",kg CFC-11-Eq
CML 2001 w/o LT," stratospheric ozone depletion w/o LT, ODP 15a w/o LT",kg CFC-11-Eq
CML 2001 w/o LT," stratospheric ozone depletion w/o LT, ODP 20a w/o LT",kg CFC-11-Eq
CML 2001 w/o LT," stratospheric ozone depletion w/o LT, ODP 25a w/o LT",kg CFC-11-Eq
CML 2001 w/o LT," stratospheric ozone depletion w/o LT, ODP 30a w/o LT",kg CFC-11-Eq
CML 2001 w/o LT," stratospheric ozone depletion w/o LT, ODP 40a w/o LT",kg CFC-11-Eq
CML 2001 w/o LT," stratospheric ozone depletion w/o LT, ODP 5a w/o LT",kg CFC-11-Eq
CML 2001 w/o LT," stratospheric ozone depletion w/o LT, ODP steady state w/o ",kg CFC-11-Eq
CML 2001 w/o LT," terrestrial ecotoxicity w/o LT, TAETP 100a w/o LT","kg 1,4-DCB-Eq"
CML 2001 w/o LT," terrestrial ecotoxicity w/o LT, TAETP 20a w/o LT","kg 1,4-DCB-Eq"
CML 2001 w/o LT," terrestrial ecotoxicity w/o LT, TAETP 500a w/o LT","kg 1,4-DCB-Eq"
CML 2001 w/o LT," terrestrial ecotoxicity w/o LT, TAETP infinite w/o LT","kg 1,4-DCB-Eq"
cumulative energy demand," biomass, renewable energy resources, biomass",MJ-Eq
cumulative energy demand," fossil, non-renewable energy resources, fossil",MJ-Eq
cumulative energy demand," geothermal, renewable energy resources, geothermal, convert",MJ-Eq
cumulative energy demand," nuclear, non-renewable energy resources, nuclear",MJ-Eq
cumulative energy demand," primary forest, non-renewable energy resources, primary for",MJ-Eq
cumulative energy demand," solar, renewable energy resources, solar, converted",MJ-Eq
cumulative energy demand," water, renewable energy resources, potential in barrage wat",MJ-Eq
cumulative energy demand," wind, renewable energy resources, kinetic in wind, converte",MJ-Eq
cumulative exergy demand," biomass, renewable energy resources, biomass",MJ-Eq
cumulative exergy demand," fossil, non-renewable energy resources, fossil",MJ-Eq
cumulative exergy demand," metals, non-renewable material resources, metals",MJ-Eq
cumulative exergy demand," minerals, non-renewable material resources, minerals",MJ-Eq
cumulative exergy demand," nuclear, non-renewable energy resources, nuclear",MJ-Eq
cumulative exergy demand," primary forest, non-renewable energy resources, primary for",MJ-Eq
cumulative exergy demand," solar, renewable energy resources, solar, converted",MJ-Eq
cumulative exergy demand," water, renewable energy resources, potential in barrage wat",MJ-Eq
cumulative exergy demand," water resources, renewable material resources, water",MJ-Eq
cumulative exergy demand," wind, renewable energy resources, kinetic in wind, converte",MJ-Eq
eco-indicator 99," E,E, ecosystem quality, acidification & eutrophication",points
eco-indicator 99," E,E, ecosystem quality, ecotoxicity",points
eco-indicator 99," E,E, ecosystem quality, land occupation",points
eco-indicator 99," E,E, ecosystem quality, total",points
eco-indicator 99," E,E, human health, carcinogenics",points
eco-indicator 99," E,E, human health, climate change",points
eco-indicator 99," E,E, human health, ionising radiation",points
eco-indicator 99," E,E, human health, ozone layer depletion",points
eco-indicator 99," E,E, human health, respiratory effects",points
eco-indicator 99," E,E, human health, total",points
eco-indicator 99," E,E, resources, fossil fuels",points
eco-indicator 99," E,E, resources, mineral extraction",points
eco-indicator 99," E,E, resources, total",points
eco-indicator 99," E,E, total, total",points
eco-indicator 99," E,E w/o LT, ecosystem quality w/o LT, acidification & eutro",points
eco-indicator 99," E,E w/o LT, ecosystem quality w/o LT, ecotoxicity w/o LT",points
eco-indicator 99," E,E w/o LT, ecosystem quality w/o LT, land occupation w/o L",points
eco-indicator 99," E,E w/o LT, ecosystem quality w/o LT, total w/o LT",points
eco-indicator 99," E,E w/o LT, human health w/o LT, carcinogenics w/o LT",points
eco-indicator 99," E,E w/o LT, human health w/o LT, climate change w/o LT",points
eco-indicator 99," E,E w/o LT, human health w/o LT, ionising radiation w/o LT",points
eco-indicator 99," E,E w/o LT, human health w/o LT, ozone layer depletion w/o ",points
eco-indicator 99," E,E w/o LT, human health w/o LT, respiratory effects w/o LT",points
eco-indicator 99," E,E w/o LT, human health w/o LT, total w/o LT",points
eco-indicator 99," E,E w/o LT, resources w/o LT, fossil fuels w/o LT",points
eco-indicator 99," E,E w/o LT, resources w/o LT, mineral extraction w/o LT",points
eco-indicator 99," E,E w/o LT, resources w/o LT, total w/o LT",points
eco-indicator 99," E,E w/o LT, total w/o LT, total w/o LT",points
eco-indicator 99," H,A, ecosystem quality, acidification & eutrophication",points
eco-indicator 99," H,A, ecosystem quality, ecotoxicity",points
eco-indicator 99," H,A, ecosystem quality, land occupation",points
eco-indicator 99," H,A, ecosystem quality, total",points
eco-indicator 99," H,A, human health, carcinogenics",points
eco-indicator 99," H,A, human health, climate change",points
eco-indicator 99," H,A, human health, ionising radiation",points
eco-indicator 99," H,A, human health, ozone layer depletion",points
eco-indicator 99," H,A, human health, respiratory effects",points
eco-indicator 99," H,A, human health, total",points
eco-indicator 99," H,A, resources, fossil fuels",points
eco-indicator 99," H,A, resources, mineral extraction",points
eco-indicator 99," H,A, resources, total",points
eco-indicator 99," H,A, total, total",points
eco-indicator 99," H,A w/o LT, ecosystem quality w/o LT, acidification & eutro",points
eco-indicator 99," H,A w/o LT, ecosystem quality w/o LT, ecotoxicity w/o LT",points
eco-indicator 99," H,A w/o LT, ecosystem quality w/o LT, land occupation w/o L",points
eco-indicator 99," H,A w/o LT, ecosystem quality w/o LT, total w/o LT",points
eco-indicator 99," H,A w/o LT, human health w/o LT, carcinogenics w/o LT",points
eco-indicator 99," H,A w/o LT, human health w/o LT, climate change w/o LT",points
eco-indicator 99," H,A w/o LT, human health w/o LT, ionising radiation w/o LT",points
eco-indicator 99," H,A w/o LT, human health w/o LT, ozone layer depletion w/o ",points
eco-indicator 99," H,A w/o LT, human health w/o LT, respiratory effects w/o LT",points
eco-indicator 99," H,A w/o LT, human health w/o LT, total w/o LT",points
eco-indicator 99," H,A w/o LT, resources w/o LT, fossil fuels w/o LT",points
eco-indicator 99," H,A w/o LT, resources w/o LT, mineral extraction w/o LT",points
eco-indicator 99," H,A w/o LT, resources w/o LT, total w/o LT",points
eco-indicator 99," H,A w/o LT, total w/o LT, total w/o LT",points
eco-indicator 99," I,I, ecosystem quality, acidification & eutrophication",points
eco-indicator 99," I,I, ecosystem quality, ecotoxicity",points
eco-indicator 99," I,I, ecosystem quality, land occupation",points
eco-indicator 99," I,I, ecosystem quality, total",points
eco-indicator 99," I,I, human health, carcinogenics",points
eco-indicator 99," I,I, human health, climate change",points
eco-indicator 99," I,I, human health, ionising radiation",points
eco-indicator 99," I,I, human health, ozone layer depletion",points
eco-indicator 99," I,I, human health, respiratory effects",points
eco-indicator 99," I,I, human health, total",points
eco-indicator 99," I,I, resources, mineral extraction",points
eco-indicator 99," I,I, resources, total",points
eco-indicator 99," I,I, total, total",points
ecological footprint," total, CO2",square meter-year
ecological footprint," total, land occupation",square meter-year
ecological footprint," total, nuclear",square meter-year
ecological footprint," total, total",square meter-year
ecological scarcity 1997," total, deposited waste",UBP
ecological scarcity 1997," total, emission into air",UBP
ecological scarcity 1997," total, emission into top-soil/groundwater",UBP
ecological scarcity 1997," total, emission into water",UBP
ecological scarcity 1997," total, radioactive waste",UBP
ecological scarcity 1997," total, total",UBP
ecological scarcity 1997," total, use of energy resources",UBP
ecological scarcity 2006," total, deposited waste",UBP
ecological scarcity 2006," total, emission into air",UBP
ecological scarcity 2006," total, emission into groundwater",UBP
ecological scarcity 2006," total, emission into surface water",UBP
ecological scarcity 2006," total, emission into top soil",UBP
ecological scarcity 2006," total, energy resources",UBP
ecological scarcity 2006," total, natural resources",UBP
ecological scarcity 2006," total, total",UBP
ecological scarcity 2013," carcinogenic substances into air, total",UBP
ecological scarcity 2013," energy resources, total",UBP
ecological scarcity 2013," global warming, total",UBP
ecological scarcity 2013," heavy metals into air, total",UBP
ecological scarcity 2013," heavy metals into soil, total",UBP
ecological scarcity 2013," heavy metals into water, total",UBP
ecological scarcity 2013," land use, total",UBP
ecological scarcity 2013," main air pollutants and PM, total",UBP
ecological scarcity 2013," mineral resources, total",UBP
ecological scarcity 2013," non radioactive waste to deposit, total",UBP
ecological scarcity 2013," ozone layer depletion, total",UBP
ecological scarcity 2013," pesticides into soil, total",UBP
ecological scarcity 2013," POP into water, total",UBP
ecological scarcity 2013," radioactive substances into air, total",UBP
ecological scarcity 2013," radioactive substances into water, total",UBP
ecological scarcity 2013," radioactive waste to deposit, total",UBP
ecological scarcity 2013," total, total",UBP
ecological scarcity 2013," water pollutants, total",UBP
ecological scarcity 2013," water resources, total",UBP
ecological scarcity 2013 no LT," carcinogenic substances into air, total",UBP
ecological scarcity 2013 no LT," global warming, total",UBP
ecological scarcity 2013 no LT," heavy metals into air, total",UBP
ecological scarcity 2013 no LT," heavy metals into soil, total",UBP
ecological scarcity 2013 no LT," heavy metals into water, total",UBP
ecological scarcity 2013 no LT," main air pollutants and PM, total",UBP
ecological scarcity 2013 no LT," non radioactive waste to deposit, total",UBP
ecological scarcity 2013 no LT," ozone layer depletion, total",UBP
ecological scarcity 2013 no LT," pesticides into soil, total",UBP
ecological scarcity 2013 no LT," POP into water, total",UBP
ecological scarcity 2013 no LT," radioactive substances into air, total",UBP
ecological scarcity 2013 no LT," radioactive substances into water, total",UBP
ecological scarcity 2013 no LT," total, total",UBP
ecological scarcity 2013 no LT," water pollutants, total",UBP
ecological scarcity 2013 no LT," water resources, total",UBP
ecosystem damage potential," total, linear, land occupation",points
ecosystem damage potential," total, linear, land transformation",points
ecosystem damage potential," total, linear, land use, total",points
EDIP," environmental impact, acidification",kg SO2-Eq
EDIP," environmental impact, ecotoxicity, acute, in water",m3 water
EDIP," environmental impact, ecotoxicity, chronic, in soil",m3 soil
EDIP," environmental impact, ecotoxicity, chronic, in water",m3 water
EDIP," environmental impact, ecotoxicity, in sewage treatment plan",m3 waste water
EDIP," environmental impact, global warming, GWP 100a",kg CO2-Eq
EDIP," environmental impact, global warming, GWP 20a",kg CO2-Eq
EDIP," environmental impact, global warming, GWP 500a",kg CO2-Eq
EDIP," environmental impact, human toxicity, via air",m3 air
EDIP," environmental impact, human toxicity, via soil",m3 soil
EDIP," environmental impact, human toxicity, via surface water",m3 water
EDIP," environmental impact, land filling, bulk waste",kg waste
EDIP," environmental impact, land filling, hazardous waste",kg waste
EDIP," environmental impact, land filling, radioactive waste",kg waste
EDIP," environmental impact, land filling, slag and ashes",kg waste
EDIP," environmental impact, nutrient enrichment, combined potenti",kg NO3-
EDIP," environmental impact, nutrient enrichment, separate N poten",kg N
EDIP," environmental impact, nutrient enrichment, separate P poten",kg P
EDIP," environmental impact, photochemical ozone formation, high N",kg ethylene-Eq
EDIP," environmental impact, photochemical ozone formation, low NO",kg ethylene-Eq
EDIP," environmental impact, stratospheric ozone depletion, ODP 10",kg CFC-11-Eq
EDIP," environmental impact, stratospheric ozone depletion, ODP 20",kg CFC-11-Eq
EDIP," environmental impact, stratospheric ozone depletion, ODP 5a",kg CFC-11-Eq
EDIP," environmental impact, stratospheric ozone depletion, ODP st",kg CFC-11-Eq
EDIP," resource consumption, non-renewable resources, aluminium",kilogram
EDIP," resource consumption, non-renewable resources, antimony",kilogram
EDIP," resource consumption, non-renewable resources, brown coal",kilogram
EDIP," resource consumption, non-renewable resources, cadmium",kilogram
EDIP," resource consumption, non-renewable resources, cerium",kilogram
EDIP," resource consumption, non-renewable resources, coal",kilogram
EDIP," resource consumption, non-renewable resources, cobalt",kilogram
EDIP," resource consumption, non-renewable resources, copper",kilogram
EDIP," resource consumption, non-renewable resources, gold",kilogram
EDIP," resource consumption, non-renewable resources, iron",kilogram
EDIP," resource consumption, non-renewable resources, lanthanum",kilogram
EDIP," resource consumption, non-renewable resources, lead",kilogram
EDIP," resource consumption, non-renewable resources, manganese",kilogram
EDIP," resource consumption, non-renewable resources, mercury",kilogram
EDIP," resource consumption, non-renewable resources, molybdenum",kilogram
EDIP," resource consumption, non-renewable resources, natural gas",kilogram
EDIP," resource consumption, non-renewable resources, nickel",kilogram
EDIP," resource consumption, non-renewable resources, oil",kilogram
EDIP," resource consumption, non-renewable resources, palladium",kilogram
EDIP," resource consumption, non-renewable resources, platinum",kilogram
EDIP," resource consumption, non-renewable resources, silver",kilogram
EDIP," resource consumption, non-renewable resources, tantalum",kilogram
EDIP," resource consumption, non-renewable resources, tin",kilogram
EDIP," resource consumption, non-renewable resources, zinc",kilogram
EDIP," resource consumption, renewable resources, wood",cubic meter
EDIP w/o LT," environmental impact w/o LT, acidification w/o LT",kg SO2-Eq
EDIP w/o LT," environmental impact w/o LT, ecotoxicity, acute, in water w",m3 water
EDIP w/o LT," environmental impact w/o LT, ecotoxicity, chronic, in soil ",m3 soil
EDIP w/o LT," environmental impact w/o LT, ecotoxicity, chronic, in water",m3 water
EDIP w/o LT," environmental impact w/o LT, ecotoxicity, in sewage treatme",m3 waste water
EDIP w/o LT," environmental impact w/o LT, global warming, GWP 100a w/o L",kg CO2-Eq
EDIP w/o LT," environmental impact w/o LT, global warming, GWP 20a w/o LT",kg CO2-Eq
EDIP w/o LT," environmental impact w/o LT, global warming, GWP 500a w/o L",kg CO2-Eq
EDIP w/o LT," environmental impact w/o LT, human toxicity, via air w/o LT",m3 air
EDIP w/o LT," environmental impact w/o LT, human toxicity, via soil w/o L",m3 soil
EDIP w/o LT," environmental impact w/o LT, human toxicity, via surface wa",m3 water
EDIP w/o LT," environmental impact w/o LT, land filling, bulk waste w/o L",kg waste
EDIP w/o LT," environmental impact w/o LT, land filling, hazardous waste ",kg waste
EDIP w/o LT," environmental impact w/o LT, land filling, radioactive wast",kg waste
EDIP w/o LT," environmental impact w/o LT, land filling, slag and ashes w",kg waste
EDIP w/o LT," environmental impact w/o LT, nutrient enrichment, combined ",kg NO3-
EDIP w/o LT," environmental impact w/o LT, nutrient enrichment, separate ",kg N
EDIP w/o LT," environmental impact w/o LT, nutrient enrichment, separate ",kg P
EDIP w/o LT," environmental impact w/o LT, photochemical ozone formation,",kg ethylene-Eq
EDIP w/o LT," environmental impact w/o LT, photochemical ozone formation,",kg ethylene-Eq
EDIP w/o LT," environmental impact w/o LT, stratospheric ozone depletion,",kg CFC-11-Eq
EDIP w/o LT," environmental impact w/o LT, stratospheric ozone depletion,",kg CFC-11-Eq
EDIP w/o LT," environmental impact w/o LT, stratospheric ozone depletion,",kg CFC-11-Eq
EDIP w/o LT," environmental impact w/o LT, stratospheric ozone depletion,",kg CFC-11-Eq
EDIP w/o LT," resource consumption w/o LT, non-renewable resources, alumi",kilogram
EDIP w/o LT," resource consumption w/o LT, non-renewable resources, antim",kilogram
EDIP w/o LT," resource consumption w/o LT, non-renewable resources, brown",kilogram
EDIP w/o LT," resource consumption w/o LT, non-renewable resources, cadmi",kilogram
EDIP w/o LT," resource consumption w/o LT, non-renewable resources, ceriu",kilogram
EDIP w/o LT," resource consumption w/o LT, non-renewable resources, coal ",kilogram
EDIP w/o LT," resource consumption w/o LT, non-renewable resources, cobal",kilogram
EDIP w/o LT," resource consumption w/o LT, non-renewable resources, coppe",kilogram
EDIP w/o LT," resource consumption w/o LT, non-renewable resources, gold ",kilogram
EDIP w/o LT," resource consumption w/o LT, non-renewable resources, iron ",kilogram
EDIP w/o LT," resource consumption w/o LT, non-renewable resources, lanth",kilogram
EDIP w/o LT," resource consumption w/o LT, non-renewable resources, lead ",kilogram
EDIP w/o LT," resource consumption w/o LT, non-renewable resources, manga",kilogram
EDIP w/o LT," resource consumption w/o LT, non-renewable resources, mercu",kilogram
EDIP w/o LT," resource consumption w/o LT, non-renewable resources, molyb",kilogram
EDIP w/o LT," resource consumption w/o LT, non-renewable resources, natur",kilogram
EDIP w/o LT," resource consumption w/o LT, non-renewable resources, nicke",kilogram
EDIP w/o LT," resource consumption w/o LT, non-renewable resources, oil w",kilogram
EDIP w/o LT," resource consumption w/o LT, non-renewable resources, palla",kilogram
EDIP w/o LT," resource consumption w/o LT, non-renewable resources, plati",kilogram
EDIP w/o LT," resource consumption w/o LT, non-renewable resources, silve",kilogram
EDIP w/o LT," resource consumption w/o LT, non-renewable resources, tanta",kilogram
EDIP w/o LT," resource consumption w/o LT, non-renewable resources, tin w",kilogram
EDIP w/o LT," resource consumption w/o LT, non-renewable resources, zinc ",kilogram
EDIP w/o LT," resource consumption w/o LT, renewable resources, wood w/o ",cubic meter
EDIP2003," acidification, acidification",square meter
EDIP2003," ecotoxicity, acute, in water",m3 water
EDIP2003," ecotoxicity, chronic, in soil",m3 soil
EDIP2003," ecotoxicity, chronic, in water",m3 water
EDIP2003," ecotoxicity, in sewage treatment plants",m3 waste water
EDIP2003," eutrophication, combined potential",kg NO3-
EDIP2003," eutrophication, separate N potential",kg N
